classes,accuracy
airplane+clock_alarm+washing_machine,0.8541666666666666
airplane+clock_alarm+water_drops,0.8958333333333334
airplane+clock_alarm+wind,0.8125
airplane+clock_tick+coughing,0.7708333333333334
airplane+clock_tick+cow,0.8958333333333334
airplane+clock_tick+crackling_fire,0.8958333333333334
airplane+clock_tick+crickets,0.8958333333333334
airplane+clock_tick+crow,0.8958333333333334
airplane+clock_tick+crying_baby,0.8333333333333334
airplane+clock_tick+dog,0.8125
airplane+clock_tick+door_wood_creaks,0.7291666666666666
airplane+clock_tick+door_wood_knock,0.8125
airplane+clock_tick+drinking_sipping,0.75
airplane+clock_tick+engine,0.9791666666666666
airplane+clock_tick+fireworks,0.8125
airplane+clock_tick+footsteps,0.75
airplane+clock_tick+frog,0.8125
airplane+clock_tick+glass_breaking,0.9375
airplane+clock_tick+hand_saw,0.9375
airplane+clock_tick+helicopter,0.7916666666666666
airplane+clock_tick+hen,0.75
airplane+clock_tick+insects,0.6666666666666666
airplane+clock_tick+keyboard_typing,0.6666666666666666
airplane+clock_tick+laughing,0.7083333333333334
airplane+clock_tick+mouse_click,0.7291666666666666
airplane+clock_tick+pig,0.7708333333333334
airplane+clock_tick+pouring_water,0.75
airplane+clock_tick+rain,0.8125
airplane+clock_tick+rooster,0.9166666666666666
airplane+clock_tick+sea_waves,0.8958333333333334
airplane+clock_tick+sheep,0.8125
airplane+clock_tick+siren,0.875
airplane+clock_tick+sneezing,0.8125
airplane+clock_tick+snoring,0.875
airplane+clock_tick+thunderstorm,0.9166666666666666
airplane+clock_tick+toilet_flush,0.9375
airplane+clock_tick+train,0.875
airplane+clock_tick+vacuum_cleaner,0.9583333333333334
airplane+clock_tick+washing_machine,0.8333333333333334
airplane+clock_tick+water_drops,0.7083333333333334
airplane+clock_tick+wind,0.8125
airplane+coughing+cow,0.875
airplane+coughing+crackling_fire,0.9583333333333334
airplane+coughing+crickets,0.9166666666666666
airplane+coughing+crow,0.9583333333333334
airplane+coughing+crying_baby,0.9166666666666666
airplane+coughing+dog,0.9375
airplane+coughing+door_wood_creaks,0.8541666666666666
